Instancia      tp   qv   valor final
A-n32-k5       3    1    906.2088350548123
A-n32-k5       3    5    803.0616595230244
A-n32-k5       3    10   797.4512901189913
A-n32-k5       10   1    861.5815261246843
A-n32-k5       10   5    834.84552233775
A-n32-k5       10   10   837.8966150749536
A-n32-k5       50   1    850.9342393659906
A-n32-k5       50   5    832.818184416285
A-n32-k5       50   10   787.0818888551103
A-n46-k7       3    1    992.7705651619178
A-n46-k7       3    5    963.1104513842813
A-n46-k7       3    10   975.5987245984427
A-n46-k7       10   1    1006.7365584328625
A-n46-k7       10   5    974.0955579245053
A-n46-k7       10   10   989.9809835227139
A-n46-k7       50   1    989.8262828570032
A-n46-k7       50   5    986.1693410824839
A-n46-k7       50   10   934.0401871785683
A-n80-k10      3    1    1952.8980430582205
A-n80-k10      3    5    1869.3710131319594
A-n80-k10      3    10   1861.2529670188314
A-n80-k10      10   1    1940.7644681745908
A-n80-k10      10   5    1879.0574985929727
A-n80-k10      10   10   1917.8209740776756
A-n80-k10      50   1    1905.2821405744028
A-n80-k10      50   5    1879.921122004163
A-n80-k10      50   10   1940.5329196261132
B-n50-k8       3    1    1361.5075617618147
B-n50-k8       3    5    1348.1899015896772
B-n50-k8       3    10   1337.026135807968
B-n50-k8       10   1    1363.517714220655
B-n50-k8       10   5    1347.952517229857
B-n50-k8       10   10   1331.784013682833
B-n50-k8       50   1    1363.3243967606938
B-n50-k8       50   5    1351.2849104310083
B-n50-k8       50   10   1350.082005198381
B-n78-k10      3    1    1373.9189970453397
B-n78-k10      3    5    1304.477026246953
B-n78-k10      3    10   1295.346722678014
B-n78-k10      10   1    1331.9804219185435
B-n78-k10      10   5    1334.1971289111564
B-n78-k10      10   10   1294.4363464260625
B-n78-k10      50   1    1317.081043336906
B-n78-k10      50   5    1304.6145092820354
B-n78-k10      50   10   1305.22196105326
