Instância: A-n32-k5, Tamanho perturbação: 3, Quantidade de vizinhos: 1, valor final: 856.3887204471235
Instância: A-n32-k5, Tamanho perturbação: 3, Quantidade de vizinhos: 5, valor final: 797.4512901189913
Instância: A-n32-k5, Tamanho perturbação: 3, Quantidade de vizinhos: 10, valor final: 838.2102837430017
Instância: A-n32-k5, Tamanho perturbação: 10, Quantidade de vizinhos: 1, valor final: 840.8405980942078
Instância: A-n32-k5, Tamanho perturbação: 10, Quantidade de vizinhos: 5, valor final: 797.4512901189912
Instância: A-n32-k5, Tamanho perturbação: 10, Quantidade de vizinhos: 10, valor final: 797.4512901189912
Instância: A-n32-k5, Tamanho perturbação: 50, Quantidade de vizinhos: 1, valor final: 897.4183580645589
Instância: A-n32-k5, Tamanho perturbação: 50, Quantidade de vizinhos: 5, valor final: 816.5047976770769
Instância: A-n32-k5, Tamanho perturbação: 50, Quantidade de vizinhos: 10, valor final: 811.1525196838204
Instância: A-n46-k7, Tamanho perturbação: 3, Quantidade de vizinhos: 1, valor final: 968.3916364747189
Instância: A-n46-k7, Tamanho perturbação: 3, Quantidade de vizinhos: 5, valor final: 967.5401195723505
Instância: A-n46-k7, Tamanho perturbação: 3, Quantidade de vizinhos: 10, valor final: 961.7269269398772
Instância: A-n46-k7, Tamanho perturbação: 10, Quantidade de vizinhos: 1, valor final: 995.9512351435139
Instância: A-n46-k7, Tamanho perturbação: 10, Quantidade de vizinhos: 5, valor final: 929.1428544012122
Instância: A-n46-k7, Tamanho perturbação: 10, Quantidade de vizinhos: 10, valor final: 986.1078563473386
Instância: A-n46-k7, Tamanho perturbação: 50, Quantidade de vizinhos: 1, valor final: 1002.703405614033
Instância: A-n46-k7, Tamanho perturbação: 50, Quantidade de vizinhos: 5, valor final: 976.460606762451
Instância: A-n46-k7, Tamanho perturbação: 50, Quantidade de vizinhos: 10, valor final: 978.0160756249766
Instância: A-n80-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 1, valor final: 1939.7242028979188
Instância: A-n80-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 5, valor final: 1969.7179722684473
Instância: A-n80-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 10, valor final: 1886.3376726758943
Instância: A-n80-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 1, valor final: 1988.2912505730771
Instância: A-n80-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 5, valor final: 1964.8233242738393
Instância: A-n80-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 10, valor final: 1979.1078260943436
Instância: A-n80-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 1, valor final: 1915.7378152152573
Instância: A-n80-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 5, valor final: 2060.8611864202194
Instância: A-n80-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 10, valor final: 1940.7920099024611
Instância: B-n50-k8, Tamanho perturbação: 3, Quantidade de vizinhos: 1, valor final: 1372.017997120103
Instância: B-n50-k8, Tamanho perturbação: 3, Quantidade de vizinhos: 5, valor final: 1353.2930900535673
Instância: B-n50-k8, Tamanho perturbação: 3, Quantidade de vizinhos: 10, valor final: 1344.7553479561693
Instância: B-n50-k8, Tamanho perturbação: 10, Quantidade de vizinhos: 1, valor final: 1372.8510179688137
Instância: B-n50-k8, Tamanho perturbação: 10, Quantidade de vizinhos: 5, valor final: 1368.5378916343304
Instância: B-n50-k8, Tamanho perturbação: 10, Quantidade de vizinhos: 10, valor final: 1354.6438722048904
Instância: B-n50-k8, Tamanho perturbação: 50, Quantidade de vizinhos: 1, valor final: 1366.7063941684914
Instância: B-n50-k8, Tamanho perturbação: 50, Quantidade de vizinhos: 5, valor final: 1357.0565273484638
Instância: B-n50-k8, Tamanho perturbação: 50, Quantidade de vizinhos: 10, valor final: 1345.5525196480075
Instância: B-n78-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 1, valor final: 1349.2442837998497
Instância: B-n78-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 5, valor final: 1315.5520853949029
Instância: B-n78-k10, Tamanho perturbação: 3, Quantidade de vizinhos: 10, valor final: 1328.2099152387902
Instância: B-n78-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 1, valor final: 1308.5709849683005
Instância: B-n78-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 5, valor final: 1356.302262581708
Instância: B-n78-k10, Tamanho perturbação: 10, Quantidade de vizinhos: 10, valor final: 1311.0601355174897
Instância: B-n78-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 1, valor final: 1339.5808965794004
Instância: B-n78-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 5, valor final: 1316.3192589407895
Instância: B-n78-k10, Tamanho perturbação: 50, Quantidade de vizinhos: 10, valor final: 1329.6570254122803
