Instancia      tp   qv   valor final
A-n32-k5       2    5    816.8814161208891
A-n32-k5       2    13   860.9539981008384
A-n32-k5       2    25   797.8718059878202
A-n32-k5       4    5    879.7670967238869
A-n32-k5       4    13   857.5689887389207
A-n32-k5       4    25   845.6963190118905
A-n32-k5       7    5    793.221445293244
A-n32-k5       7    13   847.8597604094493
A-n32-k5       7    25   816.5886752950563
A-n46-k7       2    5    991.8903024377661
A-n46-k7       2    13   990.122093189639
A-n46-k7       2    25   1075.8338112169665
A-n46-k7       4    5    989.7444236389277
A-n46-k7       4    13   1020.7568068850594
A-n46-k7       4    25   972.122433837759
A-n46-k7       7    5    969.7241157073224
A-n46-k7       7    13   978.3553804438025
A-n46-k7       7    25   983.8252033594887
A-n80-k10      2    5    1974.734698526659
A-n80-k10      2    13   1967.3149700783733
A-n80-k10      2    25   2109.161423676992
A-n80-k10      4    5    2017.6421434371755
A-n80-k10      4    13   2022.458823423551
A-n80-k10      4    25   2114.5956794151075
A-n80-k10      7    5    2021.8451745554548
A-n80-k10      7    13   2189.153950598806
A-n80-k10      7    25   2108.5288417809484
B-n50-k8       2    5    1356.6989154019172
B-n50-k8       2    13   1352.0619816722326
B-n50-k8       2    25   1351.5985253280198
B-n50-k8       4    5    1377.6980624673502
B-n50-k8       4    13   1350.4379342524207
B-n50-k8       4    25   1336.8626348174703
B-n50-k8       7    5    1361.965241188675
B-n50-k8       7    13   1366.5706942490765
B-n50-k8       7    25   1408.0810231505386
B-n78-k10      2    5    1380.2609632133222
B-n78-k10      2    13   1401.404050046763
B-n78-k10      2    25   1367.040545702687
B-n78-k10      4    5    1419.4024650780239
B-n78-k10      4    13   1489.7622005499743
B-n78-k10      4    25   1510.732231270701
B-n78-k10      7    5    1360.6083678631855
B-n78-k10      7    13   1351.8678579683085
B-n78-k10      7    25   1592.018651903509
